二级分类,三级分类
发动机/电动机,故障灯亮
发动机/电动机,异响
发动机/电动机,无法启动
发动机/电动机,抖动
发动机/电动机,漏油
发动机/电动机,动力消失
发动机/电动机,混动模式转换故障
发动机/电动机,漏防冻液
发动机/电动机,烧机油
发动机/电动机,功率不足
发动机/电动机,冷却系统故障
发动机/电动机,噪音大
发动机/电动机,熄火
发动机/电动机,油耗高
发动机/电动机,无法提速
发动机/电动机,颗粒捕捉器堵塞
发动机/电动机,驱动电机故障
发动机/电动机,缸内有异物
发动机/电动机,电动机异响
发动机/电动机,涡轮增压器故障
发动机/电动机,怠速不稳
发动机/电动机,油门故障
发动机/电动机,喷油嘴故障
发动机/电动机,水泵故障
发动机/电动机,电驱动控制器故障
发动机/电动机,拉缸
发动机/电动机,机油增多
发动机/电动机,机油乳化
发动机/电动机,排气故障
发动机/电动机,缸体破损
发动机/电动机,正时链条及齿轮故障
发动机/电动机,增程器故障
发动机/电动机,电动机故障
发动机/电动机,漏气
发动机/电动机,气门故障
发动机/电动机,正时皮带断裂
发动机/电动机,曲轴故障
发动机/电动机,抱瓦
发动机/电动机,皮带断裂
发动机/电动机,点火线圈故障
发动机/电动机,固定螺栓断裂
发动机/电动机,火花塞故障
发动机/电动机,电子油门延迟
发动机/电动机,爆震
发动机/电动机,连杆断裂
发动机/电动机,发动机下沉
