二级分类,三级分类
车身附件及电器,影音系统故障
车身附件及电器,车身生锈
车身附件及电器,仪表台开裂
车身附件及电器,部件老化
车身附件及电器,部件开裂
车身附件及电器,车载互联故障
车身附件及电器,续航里程不准
车身附件及电器,电瓶故障
车身附件及电器,动力电池故障
车身附件及电器,漆面起泡开裂
车身附件及电器,空调问题
车身附件及电器,驾驶辅助系统故障
车身附件及电器,座椅故障
车身附件及电器,仪表故障
车身附件及电器,灯罩裂纹或变形
车身附件及电器,车内异响
车身附件及电器,车身异响
车身附件及电器,充电故障
车身附件及电器,车灯进水
车身附件及电器,车身装饰脱落
车身附件及电器,门窗异响
车身附件及电器,车灯不亮
车身附件及电器,360影像故障
车身附件及电器,燃油泵故障
车身附件及电器,电路故障
车身附件及电器,车身共振
车身附件及电器,车窗升降故障
车身附件及电器,车内异味
车身附件及电器,轮毂问题
车身附件及电器,车身漏水
车身附件及电器,玻璃开裂
车身附件及电器,导航问题
车身附件及电器,门窗漏风
车身附件及电器,天窗漏水
车身附件及电器,天窗异响
车身附件及电器,中控台异响
车身附件及电器,部件异常磨损
车身附件及电器,雷达失灵
车身附件及电器,排放系统故障
车身附件及电器,雨刮器故障
车身附件及电器,中控锁故障
车身附件及电器,车身不平整
车身附件及电器,后视镜故障
车身附件及电器,安全带故障
车身附件及电器,后备厢故障
车身附件及电器,车门故障
车身附件及电器,密封条损坏
车身附件及电器,车钥匙故障
车身附件及电器,气囊未弹开
车身附件及电器,天窗开关异常
车身附件及电器,排气管锈蚀
车身附件及电器,车门把手故障
车身附件及电器,气囊故障
车身附件及电器,行车记录仪故障
车身附件及电器,胎压监测故障
车身附件及电器,空调异味
车身附件及电器,发电机故障
车身附件及电器,行车电脑故障
车身附件及电器,三元催化器故障
车身附件及电器,车辆自燃
车身附件及电器,车灯模块故障
车身附件及电器,油箱有缺陷
车身附件及电器,喇叭故障
车身附件及电器,发动机启停系统故障
车身附件及电器,车身有色差
车身附件及电器,汽油箱异响
车身附件及电器,传感器故障
车身附件及电器,电源管理模块故障
车身附件及电器,排气管异响
车身附件及电器,HUD故障
车身附件及电器,能量回收系统故障
车身附件及电器,油箱锁故障
车身附件及电器,巡航系统故障
车身附件及电器,漏玻璃水
车身附件及电器,灯组开关故障
车身附件及电器,车身模块故障
车身附件及电器,防盗系统故障
车身附件及电器,汽油箱漏油
车身附件及电器,中控台凹陷
车身附件及电器,电池组冷却系统故障
车身附件及电器,中控台故障
车身附件及电器,外放电功能故障
车身附件及电器,电压转换器故障
车身附件及电器,防侧滑功能未启动
车身附件及电器,点火开关故障
车身附件及电器,
